"Yearly Results of Themis Medicare (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"," ",
"Net Sales/Income from operations","394.61","230.67","201.59","184.11","209.50"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","394.61","230.67","201.59","184.11","209.50"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","113.63","67.92","51.38","49.23","53.27"," ",
"Purchase of Traded Goods","31.45","11.55","15.30","19.58","19.88"," ",
"Increase/Decrease in Stocks","3.06","-1.27","-3.49","-0.22","-1.49"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","51.97","39.99","44.28","45.64","44.62"," ",
"Depreciation","9.48","8.55","8.27","7.98","7.41"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","98.85","62.59","58.45","67.30","67.58"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","86.17","41.34","27.41","-5.40","18.23"," ",
"Other Income","6.54","3.62","3.47","2.69","3.04"," ",
"P/L Before Int., Excpt. Items & Tax","92.71","44.96","30.88","-2.71","21.26"," ",
"Interest","8.77","12.71","12.88","11.82","11.87"," ",
"P/L Before Exceptional Items & Tax","83.94","32.25","18.01","-14.53","9.40"," ",
"Exceptional Items","--","--","--","--","--"," ",
"P/L Before Tax","83.94","32.25","18.01","-14.53","9.40"," ",
"Tax","22.38","5.63","2.09","-1.84","0.10"," ",
"P/L After Tax from Ordinary Activities","61.56","26.62","15.91","-12.70","9.29"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","61.56","26.62","15.91","-12.70","9.29"," ",
"Equity Share Capital","9.20","9.19","9.19","9.18","9.18"," ",
